"Var1"	"Var2"	"Var3"	"Freq"
"1"	"1"	"MRW"	"ADJ"	22
"2"	"2"	"MRW"	"ADJ"	16
"3"	"3"	"MRW"	"ADJ"	10
"4"	"4"	"MRW"	"ADJ"	18
"5"	"5"	"MRW"	"ADJ"	18
"6"	"6"	"MRW"	"ADJ"	25
"7"	"7"	"MRW"	"ADJ"	9
"8"	"8"	"MRW"	"ADJ"	15
"9"	"9"	"MRW"	"ADJ"	8
"10"	"10"	"MRW"	"ADJ"	19
"11"	"11"	"MRW"	"ADJ"	15
"12"	"12"	"MRW"	"ADJ"	6
"13"	"13"	"MRW"	"ADJ"	5
"14"	"14"	"MRW"	"ADJ"	7
"15"	"15"	"MRW"	"ADJ"	9
"16"	"16"	"MRW"	"ADJ"	23
"17"	"17"	"MRW"	"ADJ"	11
"18"	"18"	"MRW"	"ADJ"	9
"19"	"19"	"MRW"	"ADJ"	18
"20"	"20"	"MRW"	"ADJ"	10
"21"	"21"	"MRW"	"ADJ"	2
"22"	"22"	"MRW"	"ADJ"	13
"23"	"23"	"MRW"	"ADJ"	12
"24"	"24"	"MRW"	"ADJ"	10
"25"	"25"	"MRW"	"ADJ"	17
"26"	"26"	"MRW"	"ADJ"	11
"27"	"27"	"MRW"	"ADJ"	16
"28"	"28"	"MRW"	"ADJ"	3
"29"	"29"	"MRW"	"ADJ"	10
"30"	"30"	"MRW"	"ADJ"	12
"31"	"31"	"MRW"	"ADJ"	13
"32"	"32"	"MRW"	"ADJ"	9
"33"	"33"	"MRW"	"ADJ"	8
"34"	"34"	"MRW"	"ADJ"	6
"35"	"35"	"MRW"	"ADJ"	7
"36"	"1"	"nonMRW"	"ADJ"	27
"37"	"2"	"nonMRW"	"ADJ"	46
"38"	"3"	"nonMRW"	"ADJ"	27
"39"	"4"	"nonMRW"	"ADJ"	30
"40"	"5"	"nonMRW"	"ADJ"	42
"41"	"6"	"nonMRW"	"ADJ"	68
"42"	"7"	"nonMRW"	"ADJ"	51
"43"	"8"	"nonMRW"	"ADJ"	37
"44"	"9"	"nonMRW"	"ADJ"	38
"45"	"10"	"nonMRW"	"ADJ"	14
"46"	"11"	"nonMRW"	"ADJ"	39
"47"	"12"	"nonMRW"	"ADJ"	51
"48"	"13"	"nonMRW"	"ADJ"	31
"49"	"14"	"nonMRW"	"ADJ"	48
"50"	"15"	"nonMRW"	"ADJ"	51
"51"	"16"	"nonMRW"	"ADJ"	48
"52"	"17"	"nonMRW"	"ADJ"	36
"53"	"18"	"nonMRW"	"ADJ"	34
"54"	"19"	"nonMRW"	"ADJ"	50
"55"	"20"	"nonMRW"	"ADJ"	51
"56"	"21"	"nonMRW"	"ADJ"	15
"57"	"22"	"nonMRW"	"ADJ"	40
"58"	"23"	"nonMRW"	"ADJ"	63
"59"	"24"	"nonMRW"	"ADJ"	44
"60"	"25"	"nonMRW"	"ADJ"	27
"61"	"26"	"nonMRW"	"ADJ"	33
"62"	"27"	"nonMRW"	"ADJ"	39
"63"	"28"	"nonMRW"	"ADJ"	37
"64"	"29"	"nonMRW"	"ADJ"	48
"65"	"30"	"nonMRW"	"ADJ"	43
"66"	"31"	"nonMRW"	"ADJ"	47
"67"	"32"	"nonMRW"	"ADJ"	42
"68"	"33"	"nonMRW"	"ADJ"	36
"69"	"34"	"nonMRW"	"ADJ"	47
"70"	"35"	"nonMRW"	"ADJ"	30
"71"	"1"	"MRW"	"ADV"	3
"72"	"2"	"MRW"	"ADV"	1
"73"	"3"	"MRW"	"ADV"	3
"74"	"4"	"MRW"	"ADV"	2
"75"	"5"	"MRW"	"ADV"	1
"76"	"6"	"MRW"	"ADV"	5
"77"	"7"	"MRW"	"ADV"	3
"78"	"8"	"MRW"	"ADV"	5
"79"	"9"	"MRW"	"ADV"	3
"80"	"10"	"MRW"	"ADV"	6
"81"	"11"	"MRW"	"ADV"	4
"82"	"12"	"MRW"	"ADV"	1
"83"	"13"	"MRW"	"ADV"	6
"84"	"14"	"MRW"	"ADV"	3
"85"	"15"	"MRW"	"ADV"	2
"86"	"16"	"MRW"	"ADV"	0
"87"	"17"	"MRW"	"ADV"	3
"88"	"18"	"MRW"	"ADV"	6
"89"	"19"	"MRW"	"ADV"	0
"90"	"20"	"MRW"	"ADV"	2
"91"	"21"	"MRW"	"ADV"	2
"92"	"22"	"MRW"	"ADV"	2
"93"	"23"	"MRW"	"ADV"	1
"94"	"24"	"MRW"	"ADV"	5
"95"	"25"	"MRW"	"ADV"	2
"96"	"26"	"MRW"	"ADV"	4
"97"	"27"	"MRW"	"ADV"	4
"98"	"28"	"MRW"	"ADV"	5
"99"	"29"	"MRW"	"ADV"	1
"100"	"30"	"MRW"	"ADV"	3
"101"	"31"	"MRW"	"ADV"	2
"102"	"32"	"MRW"	"ADV"	1
"103"	"33"	"MRW"	"ADV"	2
"104"	"34"	"MRW"	"ADV"	2
"105"	"35"	"MRW"	"ADV"	3
"106"	"1"	"nonMRW"	"ADV"	40
"107"	"2"	"nonMRW"	"ADV"	44
"108"	"3"	"nonMRW"	"ADV"	33
"109"	"4"	"nonMRW"	"ADV"	30
"110"	"5"	"nonMRW"	"ADV"	31
"111"	"6"	"nonMRW"	"ADV"	39
"112"	"7"	"nonMRW"	"ADV"	67
"113"	"8"	"nonMRW"	"ADV"	57
"114"	"9"	"nonMRW"	"ADV"	33
"115"	"10"	"nonMRW"	"ADV"	41
"116"	"11"	"nonMRW"	"ADV"	47
"117"	"12"	"nonMRW"	"ADV"	58
"118"	"13"	"nonMRW"	"ADV"	47
"119"	"14"	"nonMRW"	"ADV"	61
"120"	"15"	"nonMRW"	"ADV"	31
"121"	"16"	"nonMRW"	"ADV"	36
"122"	"17"	"nonMRW"	"ADV"	28
"123"	"18"	"nonMRW"	"ADV"	36
"124"	"19"	"nonMRW"	"ADV"	19
"125"	"20"	"nonMRW"	"ADV"	24
"126"	"21"	"nonMRW"	"ADV"	29
"127"	"22"	"nonMRW"	"ADV"	30
"128"	"23"	"nonMRW"	"ADV"	28
"129"	"24"	"nonMRW"	"ADV"	33
"130"	"25"	"nonMRW"	"ADV"	47
"131"	"26"	"nonMRW"	"ADV"	45
"132"	"27"	"nonMRW"	"ADV"	60
"133"	"28"	"nonMRW"	"ADV"	53
"134"	"29"	"nonMRW"	"ADV"	52
